Group,Score_Activation
Control,0.01953872330611367
Control,0.09415511655701175
Control,0.19346725355954206
Control,0.05959980756276956
Control,0.22097737201745962
Control,0.23356363632474325
Control,0.12221680716128652
Control,0.16478168525823383
Control,0.23264724222181102
Control,0.2451321282647259
Control,0.13560116390719462
Control,0.04084511657755244
Control,0.17602382003928774
Control,0.1357932520019038
Control,0.018024672964876448
Control,0.22119001228540905
Control,0.14321956879053357
Control,0.02303962789916142
Control,0.1359211869595973
Control,0.2687541128135179
Control,-0.056091244802825825
Model,-0.013441433475966437
Model,0.28851269439710026
Model,0.17825810553105248
Model,0.012544823928820253
Model,0.1514459865680639
Model,0.19659729346782467
Model,0.03888970839405806
Model,0.08715000472871487
Model,-0.002937238750649135
Model,0.1412374526096161
Model,0.10601550918757716
Model,0.19002674136273437
Model,0.1419997037187999
Model,-0.19839102448428356
Model,0.11882784361291757
Model,0.06733686861518764
Model,0.08245141822491733
Model,0.18230686538594224
Model,0.11781336292375291
Model,0.22981228743375612
Model,0.2619831216508064
Model,0.2035007472819708
Model,0.1526904469615507
Model,0.23288076564486876
Model,0.1851418628341777
Model,0.19834306620169376
Model,0.12447873445657584
Model,0.22709795517001793
Model,0.013463137806325715
Model,0.12932471713360605
Model,0.05364696025316801
Model,0.1362840304007897
Model,0.14935177943379585
Model,0.2019737743613712
Model,0.17553140447291243
Model,0.21689055223794554
Model,0.16117661108274256
Model,0.2960089997968812
Model,0.09175587072553176
Model,0.17992332494644286
Model,0.09502533194479204
Model,0.1672141994520972
Model,0.15519393088426878
Model,-0.02210883239705691
Model,0.22270533738194767
Model,0.23071371405951285
Model,0.2678715348110816
Model,0.1741359679063693
Model,0.3369026081750758
Model,0.35106819914601983
Control,0.1202773081684857
Control,0.09867737278624653
Control,0.3506717426721069
Control,0.19288735684742497
Control,0.19100158496312342
Control,0.1324181100862348
Control,0.21186381678118754
Control,0.08752820497106681
Control,0.1484046553821202
Control,0.10101251804177447
Control,0.13981810541057269
Control,0.09993300210672079
Control,0.15914031932983908
Control,0.10640314424051223
Control,0.13697976837455897
Control,0.07112073805287
Control,0.050868738853811823
Control,0.033931442394171535
Control,0.14261850199704715
Control,0.09801343365789389
Control,0.13757337761031613
Control,0.16086300360319208
Control,0.1833085761288204
Control,0.06748344906197742
Control,0.15794213240760624
Control,0.15411416689554852
Control,0.14080666326227265
Control,0.17407136019257
Control,0.12061490263029884
Control,0.10282047868705246
Control,0.1444978699370504
Control,0.1728202589645301
Control,0.1077577298301518
Control,0.1302475555817552
Control,0.0640334100228887
Control,0.14478758598782676
Control,0.10025423798406932
Control,0.11792876867944979
Control,0.10825656362733446
Control,0.12529274279723068
Control,0.10181740760271635
Control,0.07228324790729196
Control,0.0688937192112041
Control,0.1707581394625082
Control,0.04756204938410119
Control,0.11200553663864052
Control,0.11184642479704107
Control,0.1202568718156421
Control,0.13979360637324578
Control,0.137504597305587
Control,0.1306391587624183
Control,0.04886441054019908
Control,0.1734461343142234
Control,0.13028432467044926
Control,0.11413667167442432
Control,0.17468274370616627
Control,0.028508432599878897
Control,0.13725562471742744
Control,0.21627940195991574
Control,-0.02239420481748805
Control,0.11424403724861784
Control,0.07845849018033133
Control,0.16162740865279998
Control,0.1427524809454596
Control,0.13053297292162874
Control,0.27282214988699993
Model,0.2975510574104794
Model,0.24854117545528687
Model,0.1534621848443413
Model,0.02009259644426495
Model,0.11274155273352449
Model,0.15462851099080197
Model,0.12005610270643713
Model,0.20579335229718435
Model,0.048362989356552366
Model,0.02126911624751096
Model,0.10787092509742832
Model,0.19577859516526544
Model,0.23690621789083832
Model,0.14312846305776997
Model,0.23319394240278332
Model,0.20490992321750123
Model,0.05877216431076579
Model,0.2914004780377034
Model,0.27412757533316895
Model,0.20230681082875435
Model,0.23920061038090631
Model,0.2109047707373748
Model,0.3506119825369538
Model,0.2861573787835928
Model,0.23250507271808127
Model,0.17635526930873877
Model,0.16776607839293037
Model,0.13812123745713079
Model,0.13610692885408435
Model,0.09525521543113682
Model,0.1272378436963561
Model,0.11633010133851732
Model,0.1314914067054672
Model,0.11509860777934658
Model,0.11099178429564238
Model,0.11598070263198118
Model,0.1832609585960839
Model,0.11119537695062867
Model,0.09704353564824816
Model,0.13401566859471759
Model,0.11371327695772132
Model,0.17184588010760324
Model,0.10045214387751211
Model,0.1600047026323767
Model,0.12459695266109116
Model,0.06498310677582603
Model,-0.17563684010585415
Model,-0.0337276545456022
Model,0.10673607106724442
Model,0.19584164292517314
Model,0.21795762236434613
Model,0.3821602153405962
Model,0.2874963013756368
Model,-0.09202526564582136
Control,-0.0680223611684946
Control,0.3671436596873612
Control,0.34068958894863577
Control,0.1732528684131278
Control,0.1760772890603396
Control,0.12928392974827999
Control,0.12294021511290515
Control,0.11535525853551482
Control,0.19480369136219172
Control,0.05900705252735641
Control,0.07168009049916346
Control,0.24898456915830958
Control,0.042203356656209556
Control,0.1026029948273896
Control,0.1764783588141502
Control,0.13711525033017333
Control,0.15441222679920688
Control,0.21064051311284535
Control,0.17134706697602206
Control,0.1374675890009273
Control,0.09327763299080838
Control,0.14295652797788283
Control,0.007619662361931789
Control,-0.04081451321392421
Control,0.13076455430973863
Control,0.1759564884530262
Control,0.16823735271675
Control,0.0818310632487736
Control,0.0898244875995079
Control,0.10603878058185814
